x,y,z,collapse_count,last_collapsed_at
0,9,28,0,
0,9,29,2,35.512350778468274
0,9,30,1,16.138216983912866
0,9,31,5,75.06016085675269
0,9,32,2,23.02492050511463
0,9,33,1,47.0
0,9,34,4,61.30369757648809
0,9,35,1,68.0
0,9,36,3,80.0
0,9,37,1,81.0
0,9,38,3,47.03940019439161
0,9,39,1,19.0
0,9,40,2,15.750562993032844
0,9,41,0,
0,9,42,3,55.328557396970425
0,9,43,0,
0,9,44,1,65.55154477550388
0,9,45,1,50.0
0,9,46,1,100.0
0,9,47,2,21.181126241469862
0,9,48,3,37.0
0,9,49,0,
0,10,0,1,63.0
0,10,1,1,26.98641792552161
0,10,2,5,36.0
0,10,3,2,6.0
0,10,4,1,11.54967448631076
0,10,5,2,60.37942083099627
0,10,6,1,61.0
0,10,7,3,32.72327470647077
0,10,8,2,68.0
0,10,9,2,71.0
0,10,10,3,69.0
0,10,11,2,55.433920214499764
0,10,12,2,43.93152575410513
0,10,13,1,29.0
0,10,14,3,86.0
0,10,15,1,85.0
0,10,16,1,44.2901002225218
0,10,17,1,7.5917799157619
0,10,18,3,69.0
0,10,19,2,51.86580526095881
0,10,20,2,52.08241725142347
0,10,21,1,70.0
0,10,22,1,55.624295330518095
0,10,23,3,76.67316373685334
0,10,24,1,95.0
0,10,25,2,51.0
0,10,26,4,96.0
0,10,27,2,79.0
0,10,28,4,72.19114509137138
0,10,29,1,90.0
0,10,30,0,
0,10,31,2,53.39386686482595
0,10,32,3,29.897310630997566
0,10,33,1,36.79138218490431
0,10,34,1,28.0
0,10,35,2,22.706442602947558
0,10,36,1,61.0
0,10,37,3,55.413017676989604
0,10,38,2,20.82049712722268
0,10,39,4,70.49941461641703
0,10,40,2,60.0
0,10,41,3,73.83933432332917
0,10,42,2,46.81617465683558
0,10,43,2,59.11713967079749
0,10,44,1,34.419861696453
0,10,45,2,33.93195836510669
0,10,46,1,33.42004634964887
0,10,47,1,67.83407523610211
0,10,48,1,56.46796745286623
0,10,49,5,56.79725617051357
0,11,0,1,5.54836127937118
0,11,1,1,58.0
0,11,2,0,
0,11,3,4,64.13185703203497
0,11,4,3,52.67312744348722
0,11,5,0,
0,11,6,2,67.1542975672008
0,11,7,4,76.31297988488355
0,11,8,5,87.0
0,11,9,2,80.0
0,11,10,1,36.563524408256114
0,11,11,6,97.0
0,11,12,1,83.01629335678733
0,11,13,1,27.570953645205332
0,11,14,4,81.93141152604986
0,11,15,3,88.0
0,11,16,3,81.86384279855172
0,11,17,1,47.0
0,11,18,2,72.80113785541643
0,11,19,2,23.963516377857825
0,11,20,1,6.012941563638072
0,11,21,1,21.558109395916556
0,11,22,2,65.39556852320648
0,11,23,0,
0,11,24,1,4.535682654841243
0,11,25,4,70.2494381952476
0,11,26,3,29.0
0,11,27,1,33.0
0,11,28,2,64.8578713271828
0,11,29,1,15.576114565589009
0,11,30,2,33.68845851525988
0,11,31,3,58.5721126260187
0,11,32,4,78.91526028884617
0,11,33,0,
0,11,34,1,13.0
0,11,35,2,47.82490408336166
0,11,36,1,36.80264647165767
0,11,37,2,99.0
0,11,38,0,
0,11,39,3,80.0
0,11,40,1,60.0
0,11,41,0,
0,11,42,0,
0,11,43,1,19.0
0,11,44,4,52.64443827907808
0,11,45,3,42.00747808037007
0,11,46,0,
0,11,47,0,
0,11,48,2,56.0
0,11,49,2,21.665952621510712
0,12,0,2,98.0
0,12,1,1,82.76061289829639
0,12,2,3,99.0
0,12,3,3,23.767420517582273
0,12,4,2,42.39076924862644
0,12,5,3,38.0
0,12,6,4,37.57821158993055
0,12,7,2,10.225491756619112
0,12,8,3,95.0
0,12,9,2,50.39602606945776
0,12,10,4,83.0
0,12,11,0,
0,12,12,1,14.717576457887219
0,12,13,2,70.0
0,12,14,4,44.703957599036855
0,12,15,2,8.066401882309544
0,12,16,1,76.01232745799473
0,12,17,2,24.75781265934161
0,12,18,3,84.75689021875482
0,12,19,1,43.97435290544745
0,12,20,0,
0,12,21,0,
0,12,22,1,74.0
0,12,23,3,71.0
0,12,24,1,65.93167385226553
0,12,25,0,
0,12,26,2,45.9002429319878
0,12,27,1,10.734216460693537
0,12,28,1,24.0
0,12,29,2,33.0
0,12,30,2,60.861919200312855
0,12,31,1,66.0
0,12,32,1,48.71661316336118
0,12,33,1,2.0
0,12,34,0,
0,12,35,2,70.92793931349033
0,12,36,1,31.33658104454292
0,12,37,4,84.0
0,12,38,1,86.0
0,12,39,2,88.0
0,12,40,0,
0,12,41,1,98.0
0,12,42,0,
0,12,43,0,
0,12,44,5,58.62690666939123
0,12,45,5,93.0
0,12,46,3,31.0
0,12,47,3,86.67066959582732
0,12,48,3,59.277646841040806
0,12,49,2,51.76396334424797
0,13,0,2,72.05455737947828
0,13,1,2,89.0
0,13,2,2,45.0
0,13,3,2,54.0
0,13,4,1,77.96668989920968
0,13,5,2,23.167710997719315
0,13,6,3,95.0
0,13,7,5,81.13914849567104
0,13,8,1,88.0
0,13,9,3,84.0
0,13,10,0,
0,13,11,3,41.937056937968755
0,13,12,4,90.0
0,13,13,1,75.08698245805519
0,13,14,3,94.0
0,13,15,2,36.03837349132118
0,13,16,1,37.55809227677382
0,13,17,1,86.0
0,13,18,3,81.0
0,13,19,4,72.0
0,13,20,1,53.366525299212356
0,13,21,1,11.0
0,13,22,2,67.40330499462851
0,13,23,1,0.5576594632520376
0,13,24,1,4.0
0,13,25,1,52.0
0,13,26,5,97.0
0,13,27,0,
0,13,28,3,63.0
0,13,29,0,
0,13,30,2,82.57686023683792
0,13,31,0,
0,13,32,2,24.416728284597923
0,13,33,1,1.0
0,13,34,0,
0,13,35,5,65.3289748486285
0,13,36,2,49.59609653090547
0,13,37,2,27.304487563197537
0,13,38,1,54.97803494773844
0,13,39,2,79.0
0,13,40,2,69.0
0,13,41,2,14.0
0,13,42,0,
0,13,43,2,85.0
0,13,44,1,43.0
0,13,45,0,
0,13,46,1,8.015071204995154
0,13,47,1,74.0
0,13,48,1,64.95921488490532
0,13,49,2,59.0
0,14,0,2,45.3960647968859
0,14,1,2,97.0
0,14,2,2,64.41934288897805
0,14,3,3,64.0
0,14,4,0,
0,14,5,2,15.0
0,14,6,4,91.0
0,14,7,2,70.0
0,14,8,2,82.0
0,14,9,3,71.0
0,14,10,0,
0,14,11,3,46.362863192611236
0,14,12,2,42.90600684452918
0,14,13,1,67.50255496899386
0,14,14,1,42.23042960253853
0,14,15,4,86.09326064911161
0,14,16,4,97.0
0,14,17,0,
0,14,18,1,50.0
0,14,19,3,67.58969440435314
0,14,20,1,75.118284738127
0,14,21,5,72.0
0,14,22,4,86.60818360743013
0,14,23,1,28.470609472041247
0,14,24,2,66.0
0,14,25,3,82.0
0,14,26,3,75.19321592074269
0,14,27,1,72.0
0,14,28,4,85.08375581560776
0,14,29,3,64.2345375635052
0,14,30,4,24.236658554569157
0,14,31,3,44.17072530197466
0,14,32,2,35.0
0,14,33,1,9.530852268456549
0,14,34,2,83.0
0,14,35,2,17.0
0,14,36,2,38.62718971745949
0,14,37,2,34.92422497066716
0,14,38,3,63.0
0,14,39,4,42.69349979538121
0,14,40,2,51.427567156400805
0,14,41,1,65.0
0,14,42,4,62.322887308556375
0,14,43,0,
0,14,44,1,8.93899595899327
0,14,45,2,59.298581548152484
0,14,46,2,36.240113601437564
0,14,47,3,29.958692034978597
0,14,48,2,9.019595877599755
0,14,49,3,95.0
0,15,0,4,76.0
0,15,1,1,9.27939504807713
0,15,2,4,72.98138321950653
0,15,3,2,67.04069739199338
0,15,4,3,71.06509224330779
0,15,5,2,65.0
0,15,6,3,60.36822137065742
0,15,7,3,52.031260357357176
0,15,8,3,98.0
0,15,9,1,31.0
0,15,10,3,71.18086024454549
0,15,11,0,
0,15,12,4,75.44196050822659
0,15,13,2,44.063866931599556
0,15,14,0,
0,15,15,6,71.30270385519769
0,15,16,5,47.52443496794507
0,15,17,4,45.9103012170646
0,15,18,2,77.0
0,15,19,0,
0,15,20,2,62.075308641150514
0,15,21,2,69.60420153026561
0,15,22,2,94.0
0,15,23,5,70.0
0,15,24,1,68.0
0,15,25,3,65.55845617012507
0,15,26,4,67.69625710456063
